1740R-231-01	CRC0515_CAS9
1740R-231-02	CRC0515_CN-01
1740R-231-03	CRC0515_CKO-13
1740R-231-04	CRC0515_CKO-19
1740R-231-05	CRC0515_NKO-bulk
1740R-231-06	CRC1502_CAS9
1740R-231-07	CRC1502_CN-12
1740R-231-08	CRC1502_CKO-04
1740R-231-09	CRC1502_CKO-06
1740R-231-10	CRC1502_NKO-bulk
1740R-231-11	CRC0322_CAS9
1740R-231-12	CRC0322_CN-04
1740R-231-13	CRC0322_CKO-07
1740R-231-14	CRC0322_CKO-15
1740R-231-15	CRC0322_NKO-bulk
1740R-231-16	DIFI_CAS9
1740R-231-17	DIFI_CN-25
1740R-231-18	DIFI_CKO-05
1740R-231-19	DIFI_CKO-08
1740R-231-20	DIFI_NKO-bulk
1740R-231-21	SW480-CAS9
1740R-231-22	SW480-CN-00
1740R-231-23	SW480-CKO-00
1740R-231-24	SW480-NKO-bulk
1740R-231-25	CRC0059-CAS9
1740R-231-26	CRC0059_CN-25
1740R-231-27	CRC0059_CKO-26
1740R-231-28	CRC0059_CKO-27
1740R-231-29	CRC0059_NKO-bulk
1740R-231-30	CRC0277_CAS9
1740R-231-31	CRC0277_CN-02
1740R-231-32	CRC0277_CKO-09
1740R-231-33	CRC0277_CKO-10
1740R-231-34	CRC0277_NKO-bulk
1740R-231-35	CRC1278_CAS9
1740R-231-36	CRC1278_CN-10
1740R-231-37	CRC1278_CKO-2.5
1740R-231-38	CRC1278_NKO-bulk
1740R-231-39	HCA24_CAS9
1740R-231-40	HCA24_CN-11
1740R-231-41	HCA24_CKO-09
1740R-231-42	HCA24_NKO-bulk
1740R-231-43	CRC0327_BULK_IRE
